x_mm,y_mm,z_mm,v_pp,v_max,v_min,frequency,pii,pd
15.625,-3.125,0.0,19.6,10.8,-8.8,992.063492063492,556.4650335849238,0.0007925
-15.625,0.0,0.0,19.6,10.8,-8.8,992.063492063492,554.7572013212637,0.0007899999999999999
-12.5,0.0,0.0,19.6,10.8,-8.8,992.063492063492,555.6343364180832,0.0007899999999999999
-9.375,0.0,0.0,19.6,10.8,-8.8,992.063492063492,555.0370866883954,0.0007899999999999999
-6.25,0.0,0.0,19.6,10.8,-8.8,992.063492063492,554.7614061264684,0.0007899999999999999
-3.125,0.0,0.0,19.6,10.8,-8.8,992.063492063492,555.7718890700951,0.0007925
0.0,0.0,0.0,19.6,10.8,-8.8,992.063492063492,555.2164410217542,0.0007899999999999999
3.125,0.0,0.0,19.6,10.8,-8.8,992.063492063492,554.8417630541932,0.0007899999999999999
6.25,0.0,0.0,19.6,10.8,-8.8,992.063492063492,555.2168123460154,0.0007925
9.375,0.0,0.0,19.6,10.8,-8.8,992.063492063492,556.1821811601245,0.0007925
12.5,0.0,0.0,19.6,10.8,-8.8,992.063492063492,555.4388241747324,0.0007899999999999999
15.625,0.0,0.0,19.6,10.8,-8.8,992.063492063492,554.7705925708082,0.0007899999999999999
-15.625,3.125,0.0,19.6,10.8,-8.8,992.063492063492,555.724397286499,0.0007925
-12.5,3.125,0.0,19.6,10.8,-8.8,992.063492063492,555.3064311617395,0.0007925
-9.375,3.125,0.0,19.6,10.8,-8.8,992.063492063492,554.6722977342525,0.0007899999999999999
-6.25,3.125,0.0,19.6,10.8,-8.8,992.063492063492,555.4985472616098,0.0007925
-3.125,3.125,0.0,19.6,10.8,-8.8,992.063492063492,556.1221421529236,0.0007925
0.0,3.125,0.0,19.6,10.8,-8.8,992.063492063492,555.697859979303,0.0007925
3.125,3.125,0.0,19.6,10.8,-8.8,992.063492063492,556.1137431517786,0.0007925
6.25,3.125,0.0,19.6,10.8,-8.8,992.063492063492,555.3997926902545,0.0007899999999999999
9.375,3.125,0.0,19.6,10.8,-8.8,165952.1504632833,554.4545956245789,0.0007899999999999999
12.5,3.125,0.0,19.6,10.8,-8.8,992.063492063492,555.3150494210196,0.0007899999999999999
